_id,author,date,journal,keywords,org,country,title,url,
59a8bc171d41c81f54ab2c06,"Afzal N, Sohn S, Scott CG, Liu H, Kullo IJ, Arruda-Olson AM.",2017 Jul 26,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,KEYWORDS_NA,";Department of Health Sciences Research, Rochester MN.;Department of Cardiovascular Diseases, Mayo Clinic, Rochester MN.","Rochester MN, USA",Surveillance of Peripheral Arterial Disease Cases Using Natural Language Processing of Clinical Notes.,https://www.ncbi.nlm.nih.gov/pubmed/28815100,
59a8bc181d41c81f54ab2c07,"Huhdanpaa HT, Tan WK, Rundell SD, Suri P, Chokshi FH, Comstock BA, Heagerty PJ, James KT, Avins AL, Nedeljkovic SS, Nerenz DR, Kallmes DF, Luetmer PH, Sherman KJ, Organ NL, Griffith B, Langlotz CP, Carrell D, Hassanpour S, Jarvik JG.",2017 Aug 14,Journal of digital imaging,"['Lumbar spine imaging', ' Modic classification', ' Natural language processing', ' Radiology reporting']",";Radia, Inc., Lynwood, WA, USA.;Department of Biostatistics, University of Washington, Seattle, WA, USA.;Center for Biomedical Statistics, University of Washington, Seattle, WA, USA.;Department of Rehabilitation Medicine, University of Washington, Seattle, WA, USA.;Comparative Effectiveness, Cost and Outcomes Research Center, University of Washington, Seattle, WA, USA.;Division of Rehabilitation Care Services, Seattle Epidemiologic Research and Information Center, VA Puget Sound Health Care System, Seattle, WA, USA.;Department of Radiology and Imaging Sciences, Emory University School of Medicine, Atlanta, GA, USA.;Department of Radiology, University of Washington, Box 359728, 325 Ninth Ave., Seattle, WA, 98104-2499, USA.;Division of Research, Kaiser Permanente Northern California, Oakland, CA, USA.;Department of Anesthesiology, Perioperative and Pain Medicine, Harvard Vanguard Medical Associates, Brigham and Women's Hospital and Spine Unit, Boston, MA, USA.;Henry Ford Hospital, Neuroscience Institute, Detroit, MI, USA.;Department of Radiology, Mayo Clinic, Rochester, MN, USA.;Kaiser Permanente of Washington Research Institute, Seattle, WA, USA.;Department of Radiology, Henry Ford Hospital, Detroit, MI, USA.;Department of Radiology, Stanford University, Palo Alto, CA, USA.;Department of Biomedical Data Science, Dartmouth College, Lebanon, NH, USA.;Comparative Effectiveness, Cost and Outcomes Research Center, University of Washington, Seattle, WA, USA. jarvikj@uw.edu.;Department of Radiology, University of Washington, Box 359728, 325 Ninth Ave., Seattle, WA, 98104-2499, USA. jarvikj@uw.edu.;Department of Neurological Surgery, University of Washington, Seattle, WA, USA. jarvikj@uw.edu.;Department of Health Services, University of Washington, Seattle, WA, USA. jarvikj@uw.edu.","Seattle, WA, USA; Atlanta, GA, USA.;Oakland, CA, USA.; Boston, MA, USA.; Detroit, MI, USA.; Rochester, MN, USA.; Detroit, MI, USA; Palo Alto, CA, USA.; Lebanon, NH, USA",Using Natural Language Processing of Free-Text Radiology Reports to Identify Type 1 Modic Endplate Changes.,https://www.ncbi.nlm.nih.gov/pubmed/28808792,
59a8bc181d41c81f54ab2c08,"Aronis JM, Millett NE, Wagner MM, Tsui F, Ye Y, Ferraro JP, Haug PJ, Gesteland PH, Cooper GF.",2017 Aug 7,Journal of biomedical informatics,"['Bayesian Modeling', ' Influenza', ' Outbreak Characterization', ' Outbreak Detection']",";Real-time Outbreak and Disease Surveillance Laboratory, Department of Biomedical Informatics, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America. Electronic address: jma18@pitt.edu.;Real-time Outbreak and Disease Surveillance Laboratory, Department of Biomedical Informatics, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America.;Real-time Outbreak and Disease Surveillance Laboratory, Department of Biomedical Informatics, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America; Intelligent Systems Program, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America.;Department of Biomedical Informatics, University of Utah, Salt Lake City, Utah, United States of America; Intermountain Healthcare, Salt Lake City, Utah, United States of America.;Department of Biomedical Informatics, University of Utah, Salt Lake City, Utah, United States of America; Intermountain Healthcare, Salt Lake City, Utah, United States of America; Department of Pediatrics, University of Utah, Salt Lake City, Utah, United States of America.","Pittsburgh, Pennsylvania, USA; Salt Lake City, Utah, USA",A Bayesian System to Detect and Characterize Overlapping Outbreaks.,https://www.ncbi.nlm.nih.gov/pubmed/28797710,
59a8bc191d41c81f54ab2c09,"Maciejewski M, Lounkine E, Whitebread S, Farmer P, DuMouchel W, Shoichet BK, Urban L.",2017 Aug 8,eLife,"['FAERS', ' adverse drug reactions', ' big data', ' data analysis', ' human', ' human biology', ' medicine']",";Novartis Institutes for Biomedical Research, Cambridge, United States.;Novartis Institutes for Biomedical Research, Basel, Switzerland.;Oracle Health Sciences, Oracle Health Sciences, Burlington, United States.;University of California, San Francisco, United States.","Cambridge, Massachusetts, USA; Basel, Switzerland.; Burlington, Massachusetts, USA; San Francisco, CA, USA",Reverse translation of adverse event reports paves the way for de-risking preclinical off-targets.,https://www.ncbi.nlm.nih.gov/pubmed/28786378,
59a8bc1a1d41c81f54ab2c0a,"Wang M, Cyhaniuk A, Cooper DL, Iyer NN.",2017 Jul 19,Journal of blood medicine,"['acquired hemophilia', ' big data', ' database', ' electronic health record']",";Hemophilia and Thrombosis Center, University of Colorado School of Medicine, Aurora, CO.;AC Analytic Solutions, Barrington, IL.;Clinical Development, Medical and Regulatory Affairs, Novo Nordisk Inc., Plainsboro, NJ, USA.","Aurora, CO, USA.; Barrington, IL, USA.;Plainsboro, NJ, USA.",Identification of people with acquired hemophilia in a large electronic health record database.,https://www.ncbi.nlm.nih.gov/pubmed/28769599,
59a8bc1a1d41c81f54ab2c0b,"Lin FP, Pokorny A, Teng C, Epstein RJ.",2017 Jul 31,Scientific reports,KEYWORDS_NA,";Department of Oncology, St Vincent's Hospital & The Kinghorn Cancer Centre, Darlinghurst, NSW, Australia. f.lin@garvan.org.au.;Garvan Institute of Medical Research, Darlinghurst, NSW, Australia. f.lin@garvan.org.au.;Department of Oncology, St Vincent's Hospital & The Kinghorn Cancer Centre, Darlinghurst, NSW, Australia.;Department of Medical Oncology, Liverpool Hospital, Liverpool, Sydney, NSW, Australia.;Garvan Institute of Medical Research, Darlinghurst, NSW, Australia.","Darlinghurst, NSW, Australia; Sydney, NSW, Australia;  Liverpool, NSW, Australia",TEPAPA: a novel in silico feature learning pipeline for mining prognostic and associative factors from text-based electronic medical records.,https://www.ncbi.nlm.nih.gov/pubmed/28761061,
59a8bc1b1d41c81f54ab2c0c,"Jian Z, Guo X, Liu S, Ma H, Zhang S, Zhang R, Lei J.",2017 Jul 26,Journal of biomedical informatics,"['Annotation cost', ' Chinese NLP', ' Clinical natural language processing', ' De-identification']",";Department of Medical Informatics, Harbin Medical University, Harbin, China.;Renji Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China.;Shanghai Children's Medical Center, Shanghai, China.;Synyi Co. Ltd., Shanghai, China.;Institute for Health Informatics, University of Minnesota, Minneapolis, MN, U.S.A.;Center for Medical Informatics, Peking University, Beijing, China. Electronic address: jblei@hsc.pku.edu.cn.","Harbin, China.; Shanghai, China.; Minneapolis, MN, U.S.A.; Beijing, China",A Cascaded Approach for Chinese Clinical Text De-Identification with Less Annotation Effort.,https://www.ncbi.nlm.nih.gov/pubmed/28756160,
59a8bc1c1d41c81f54ab2c0d,"Devarakonda MV, Mehta N, Tsou CH, Liang JJ, Nowacki AS, Jelovsek JE.",2017 Sep,International journal of medical informatics,"['Electronic health records', ' IBM Watson', ' Longitudinal patient records', ' Machine learning', ' Natural language processing', ' Problem list']",";IBM Research, USA. Electronic address: mvd@acm.org.;Cleveland Clinic, USA.;IBM Research, USA.","Yorktown Heights, NY USA.; Cleveland, OH, USA",Automated problem list generation and physicians perspective from a pilot study.,https://www.ncbi.nlm.nih.gov/pubmed/28750905,
59a8bc1c1d41c81f54ab2c0e,"Zhang H, Plutzky J, Shubina M, Turchin A.",2017 Aug 15,Annals of internal medicine,KEYWORDS_NA,";From Peking Union Medical College Hospital, Beijing, China, and Harvard Medical School, Brigham and Women's Hospital, and Baim Institute for Clinical Research, Boston, Massachusetts.","Beijing, China; Boston, Massachusetts, USA",Continued Statin Prescriptions After Adverse Reactions and Patient Outcomes: A Cohort Study.,https://www.ncbi.nlm.nih.gov/pubmed/28738423,
59a8bc1d1d41c81f54ab2c0f,"Zhang S, Kang T, Qiu L, Zhang W, Yu Y, Elhadad N.",2017 Apr,Proceedings of the ... International World-Wide Web Conference. International WWW Conference,"['Autism', ' Conditional Random Fields', ' Natural Language Processing', ' Online Health Community', ' Treatment']",";Department of Biomedical Informatics, Columbia University, New York, NY, US.;Apex Data and Knowledge Management Lab, Shanghai Jiao Tong University, Shanghai, China.","New York, NY, US.; Shanghai, China.",Cataloguing Treatments Discussed and Used in Online Autism Communities.,https://www.ncbi.nlm.nih.gov/pubmed/28736777,
59a8bc1f1d41c81f54ab2c10,"Kreimeyer K, Foster M, Pandey A, Arya N, Halford G, Jones SF, Forshee R, Walderhaug M, Botsis T.",2017 Jul 17,Journal of biomedical informatics,"['Common Data Elements', ' Natural Language Processing', ' Review, Systematic']",";Office of Biostatistics and Epidemiology, Center for Biologics Evaluation and Research, US Food and Drug Administration, Silver Spring, MD. Electronic address: Kory.Kreimeyer@fda.hhs.gov.;Office of Biostatistics and Epidemiology, Center for Biologics Evaluation and Research, US Food and Drug Administration, Silver Spring, MD.;FDA Library, US Food and Drug Administration, Silver Spring, MD.;Cancer Surveillance Branch, Division of Cancer Prevention and Control, National Center for Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention, Atlanta, GA.","Silver Spring, MD, USA.; Atlanta, GA, USA",Natural Language Processing Systems for Capturing and Standardizing Unstructured Clinical Information: a systematic review.,https://www.ncbi.nlm.nih.gov/pubmed/28729030,
59a8bc1f1d41c81f54ab2c11,"Brennan CW, Meng F, Meterko MM, D'Avolio LW.",2016 Dec 1,Journal of nursing measurement,KEYWORDS_NA,";Nursing Department, National Institutes of Health Clinical Center, Bethesda, Maryland, USA."," Bethesda, Maryland, USA.",Feasibility of Automating Patient Acuity Measurement Using a Machine Learning Algorithm.,https://www.ncbi.nlm.nih.gov/pubmed/28714447,
59a8bc201d41c81f54ab2c12,"Liu Z, Yang M, Wang X, Chen Q, Tang B, Wang Z, Xu H.",2017 Jul 5,BMC medical informatics and decision making,"['Clinical notes', ' Deep learning', ' Entity recognition', ' Recurrent neural network', ' Sequence labeling']",";Key Laboratory of Network Oriented Intelligent Computation, Harbin Institute of Technology Shenzhen Graduate School, Shenzhen, 518055, China.;Pharmacy Department, Shenzhen Second People's Hospital, First Affiliated Hospital of Shenzhen University, Shenzhen, 518035, China.;Key Laboratory of Network Oriented Intelligent Computation, Harbin Institute of Technology Shenzhen Graduate School, Shenzhen, 518055, China. tangbuzhou@gmail.com.;Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, 130012, China. tangbuzhou@gmail.com.;Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, 130012, China.;School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX, USA.","Shenzhen, China.; Changchun, China; Houston, TX, USA.",Entity recognition from clinical texts via recurrent neural network.,https://www.ncbi.nlm.nih.gov/pubmed/28699566,
59a8bc211d41c81f54ab2c13,"Zhang R, Pakhomov SVS, Arsoniadis EG, Lee JT, Wang Y, Melton GB.",2017 Jul 5,BMC medical informatics and decision making,"['Clinical specialty', ' Electronic health records', ' Natural language processing', ' New information', ' Redundancy', ' Semantic similarity', ' Statistical language models']",";Institute for Health Informatics, University of Minnesota, Minneapolis, MN, USA.;Department of Surgery, University of Minnesota, Minneapolis, MN, USA.;College of Pharmacy, University of Minnesota, Minneapolis, MN, USA.;Institute for Health Informatics, University of Minnesota, Minneapolis, MN, USA. gmelton@umn.edu.;Department of Surgery, University of Minnesota, Minneapolis, MN, USA. gmelton@umn.edu."," Minneapolis, MN, USA",Detecting clinically relevant new information in clinical notes across specialties and settings.,https://www.ncbi.nlm.nih.gov/pubmed/28699564,
59a8bc211d41c81f54ab2c14,"Tao C, Gong Y, Xu H, Zhao Z.",2017 Jul 5,BMC medical informatics and decision making,KEYWORDS_NA,";University of Texas, Health Science Center at Houston, of Biomedical Informatics, Houston, TX, USA. Cui.Tao@uth.tmc.edu.;University of Texas, Health Science Center at Houston, of Biomedical Informatics, Houston, TX, USA.","Houston, TX, USA",Introduction: the International Conference on Intelligent Biology and Medicine (ICIBM) 2016: special focus on medical informatics and big data.,https://www.ncbi.nlm.nih.gov/pubmed/28699553,
59a8bc221d41c81f54ab2c15,"Chen Y, Lask TA, Mei Q, Chen Q, Moon S, Wang J, Nguyen K, Dawodu T, Cohen T, Denny JC, Xu H.",2017 Jul 5,BMC medical informatics and decision making,KEYWORDS_NA,";Pieces Technologies Inc, Dallas, TX, USA.;Department of Biomedical Informatics, Vanderbilt University, Nashville, TN, USA.;School of Information, University of Michigan, Ann Arbor, MI, USA.;Biostatistics, Vanderbilt University, Nashville, TN, USA.;Department of Health Sciences Research, Mayo Clinic, Rochester, MN, USA.;School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX, USA.;Nursing, The University of Texas Health Science Center at Houston, Houston, TX, USA.;Medicine, Vanderbilt University, Nashville, TN, USA.;School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX, USA. hua.xu@uth.tmc.edu.","Dallas, TX, USA.;  Nashville, TN, USA.; Ann Arbor, MI, USA.; Rochester, MN, USA.; Houston, TX, USA.;",An active learning-enabled annotation system for clinical named entity recognition.,https://www.ncbi.nlm.nih.gov/pubmed/28699546,
59a8bc231d41c81f54ab2c16,Luo Y.,2017 Aug,Journal of biomedical informatics,"['Long Short-Term Memory', ' Machine learning', ' Medical relation classification', ' Natural language processing', ' Recurrent neural network']",";Department of Preventive Medicine, Division of Health and Biomedical Informatics, Northwestern University, Chicago, IL, United States. Electronic address: Yuan.luo@northwestern.edu.","Chicago, IL, USA",Recurrent neural networks for classifying relations in clinical notes.,https://www.ncbi.nlm.nih.gov/pubmed/28694119,
59a8bc231d41c81f54ab2c17,"Gandy LM, Gumm J, Blackford AL, Fertig EJ, Diaz LA Jr.",2017 Jun 22,Cancer informatics,"['clinicaltrials.gov', ' gene-specific therapies', ' information retrieval', ' machine learning', ' natural language processing']",";Department of Computer Science, Central Michigan University, Mt Pleasant, MI, USA.;Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA.","Mt Pleasant, MI, USA.; Baltimore, MD, USA.",A Software Application for Mining and Presenting Relevant Cancer Clinical Trials per Cancer Mutation.,https://www.ncbi.nlm.nih.gov/pubmed/28690394,
59a8bc241d41c81f54ab2c18,"Gould MK, Sakoda LC, Ritzwoller DP, Simoff MJ, Neslund-Dudas CM, Kushi LH, Carter-Harris L, Feigelson HS, Minowada G, Doria-Rose VP.",2017 Jul 6,Annals of the American Thoracic Society,KEYWORDS_NA,";Kaiser Permanente Southern California, Research and Evaluation , 100 S. Los Robles Ave. , Suite 304 , Pasadena, California, United States , 91101 ; michael.k.gould@kp.org.;Kaiser Permanente Northern California, 214681, Division of Research, Oakland, California, United States ; Lori.sakoda@kp.org.;Kaiser Permanente Colorado, Institute for Health Research, Denver, Colorado, United States ; debra.ritzwoller@kp.org.;Henry Ford Hospital, Department of Pulmonary and Critical Care Medicine, Detroit, Michigan, United States ; msimoff1@hghs.org.;Henry Ford Health System, 2971, Department of Public Health Sciences, Detroit, Michigan, United States ; cdudas1@hfhs.org.;Kaiser Permanente Northern California, 214681, Division of Research, Oakland, California, United States ; larry.kushi@kp.org.;Indiana University Purdue University at Indianapolis, 10668, School of Nursing, Indianapolis, Indiana, United States ; lcharris@iu.edu.;Kaiser Permanente Colorado, Institute for Health Research, Denver, Colorado, United States ; heather.s.feigelson@kp.org.;Kaiser Permanente Northen California, Department of Pulmonary Medicine, Vallejo, California, United States ; george.minowada@kp.org.;National Cancer Institute, 3421, Division of Cancer Control and Population Sciences, Bethesda, Maryland, United States ; paul.doriarose@nih.gov.","Pasadena, CA, USA ; Oakland, CA, USA ; Denver, Colorado, USA ;  Detroit, Michigan, USA;  Indianapolis, Indiana, USA ; Vallejo, CA, USA ; Bethesda, Maryland, USA",Monitoring Lung Cancer Screening Utilization and Outcomes in Four Cancer Research Network Sites.,https://www.ncbi.nlm.nih.gov/pubmed/28683215,
59a8bc241d41c81f54ab2c19,"Fong A, Adams K, Samarth A, McQueen L, Trivedi M, Chappel T, Grace E, Terrillion S, Ratwani RM.",2017 Jun 30,Journal of patient safety,KEYWORDS_NA,";From the *National Center for Human Factors in Healthcare, Medstar Health; †Clinovations; and ‡Agency for Healthcare Research and Quality, U.S. Department of Health and Human Services, Washington, District of Columbia.","Washington, District of Columbia, USA",Assessment of Automating Safety Surveillance From Electronic Health Records: Analysis for the Quality and Safety Review System.,https://www.ncbi.nlm.nih.gov/pubmed/28671914,
59a8bc251d41c81f54ab2c1a,"Valdez J, Rueschman M, Kim M, Redline S, Sahoo SS.",2016 Oct,"On the move to meaningful Internet systems ... : CoopIS, DOA, and ODBASE : Confederated International Conferences, CoopIS, DOA, and ODBASE ... proceedings. OTM Confederated International Conferences","['Named Entity Recognition', ' Ontology-based Natural Language Processing', ' Provenance Metadata', ' Scientific Reproducibility']",";Division of Medical Informatics and Electrical Engineering and Computer Science Department, Case Western Reserve University, Cleveland, OH, USA.;Departments of Medicine, Brigham and Women's Hospital and Beth Israel Deaconess Medical Center, Harvard University, Boston, MA, USA.","Cleveland, OH, USA.; Boston, MA, USA.",An Ontology-Enabled Natural Language Processing Pipeline for Provenance Metadata Extraction from Biomedical Text (Short Paper).,https://www.ncbi.nlm.nih.gov/pubmed/28664200,
59a8bc251d41c81f54ab2c1b,"Buchan K, Filannino M, Uzuner Ö.",2017 Aug,Journal of biomedical informatics,"['Coronary artery disease', ' Dimensionality reduction', ' Machine learning', ' Natural language processing', ' Ontology', ' Prediction']",";Department of Information Science, State University of New York at Albany, NY, USA. Electronic address: kbuchan@albany.edu.;Department of Computer Science, State University of New York at Albany, NY, USA.","Albany, NY, USA",Automatic prediction of coronary artery disease from clinical narratives.,https://www.ncbi.nlm.nih.gov/pubmed/28663072,
59a8bc261d41c81f54ab2c1c,"Luo Y, Thompson WK, Herr TM, Zeng Z, Berendsen MA, Jonnalagadda SR, Carson MB, Starren J.",2017 Jun 22,Drug safety,KEYWORDS_NA,";Department of Preventive Medicine, Northwestern University Feinberg School of Medicine, 750 North Lake Shore Drive, 11th floor, Chicago, IL, 60611, USA. yuan.luo@northwestern.edu.;Department of Preventive Medicine, Northwestern University Feinberg School of Medicine, 750 North Lake Shore Drive, 11th floor, Chicago, IL, 60611, USA.;Galter Health Sciences Library, Northwestern University Feinberg School of Medicine, 750 North Lake Shore Drive, 11th floor, Chicago, IL, 60611, USA.;Knowledge and Conversation Group, Microsoft, Redmond, WA, USA.","Chicago, IL, USA; Redmond, WA, USA.",Natural Language Processing for EHR-Based Pharmacovigilance: A Structured Review.,https://www.ncbi.nlm.nih.gov/pubmed/28643174,
59a8bc271d41c81f54ab2c1d,"Tang H, Solti I, Kirkendall E, Zhai H, Lingren T, Meller J, Ni Y.",2017 Jun 8,Biomedical informatics insights,"['Adverse drug reaction', ' clinical notes', ' electronic health records', ' natural language processing']",";Department of Biomedical Informatics, Cincinnati Children's Hospital Medical Center (CCHMC), Cincinnati, OH, USA.;Department of Pediatrics, University of Cincinnati, Cincinnati, OH, USA.;Department of Biomedical Informatics, University of Cincinnati, Cincinnati, OH, USA.;Information Services and Division of Hospital Medicine, University of Cincinnati, Cincinnati, OH, USA.;Microsoft, Redmond, WA, USA.;Department of Environmental Health, University of Cincinnati, Cincinnati, OH, USA.","Cincinnati, OH, USA.;  Redmond, WA, USA",Leveraging Food and Drug Administration Adverse Event Reports for the Automated Monitoring of Electronic Health Records in a Pediatric Hospital.,https://www.ncbi.nlm.nih.gov/pubmed/28634427,
